Max Humid,Avg Humid,Min Humid,Max Temp,Avg Temp,Min Temp,Avg Pressure,ACS,ADR,KD
100,89.9,71,7.222222222,5.777777778,5,29.1,428,274,2.36
100,90.3,75,3.888888889,2.388888889,1.111111111,29.2,327,207,1.44
100,95.9,75,0,-0.3333333333,-1.111111111,29.3,322,206,1.6
87,66.8,38,11.11111111,4.166666667,-2.777777778,29.7,290,181,2.05
100,98.3,93,2.777777778,1.111111111,0,29.3,269,178,1.26
100,85.3,60,2.222222222,-2.888888889,-8.888888889,29.4,254,168,1.35
86,65.7,48,1.111111111,-1.388888889,-6.111111111,29.4,251,167,1.12
100,98.2,93,3.888888889,2.055555556,0,29.6,251,163,1.2
100,83.2,71,12.22222222,8.166666667,2.777777778,29.2,250,170,1.34
100,74.1,42,6.111111111,-0.3333333333,-5,29.4,248,159,1
100,94.7,87,2.222222222,0.8333333333,-1.111111111,29.2,244,159,1.32
100,85,64,1.111111111,-3.611111111,-7.777777778,29.3,244,164,1.16
93,89.5,87,2.222222222,1.666666667,1.111111111,29.4,243,158,1.17
100,93.3,76,5,-1.222222222,-5,29.9,239,151,1.24
93,77.2,56,1.111111111,-3.166666667,-7.777777778,29.5,239,146,1.28
100,92,63,15,6.888888889,2.777777778,29.6,237,155,1.24
93,70.7,41,2.777777778,-1.166666667,-5,29.4,234,149,1.31
87,67.6,49,5,2.722222222,0,29.5,231,146,1.23
86,61.9,42,3.888888889,-0.2222222222,-3.888888889,29.8,230,152,1.26
100,92,76,10,3.666666667,-2.222222222,29.2,221,141,1.18
93,67.4,41,2.777777778,-2.277777778,-7.777777778,29.7,221,145,1.16
93,83.4,65,5,0.3333333333,-2.777777778,29.3,219,149,1.31
100,92.5,67,12.22222222,5.277777778,0,29.7,219,133,0.89
100,67.3,43,10,5.055555556,-1.111111111,29.4,200,134,0.91
93,71.2,47,11.11111111,4.555555556,-2.777777778,29.6,199,143,1.08
100,77.8,66,8.888888889,6.166666667,2.222222222,29.2,165,117,0.63